"GR_keas","GR_keas_copy","C_keas","D_keas","GR_ori","GR_ori_copy","C_ori","D_ori","GR_fit","GR_fit_copy","C_fit","D_fit"
"0.0035","0.0035","45.6241868238","39.7423413096","0.0019950624","0.0019950624","649.6628659159","10.4295377658","0.0035","0.0035","290.9584721105","59.6433360285"
"0.0036","0.0036","45.0575103261","38.9626384624","0.001308832","0.001308832","706.2317095681","19.6936943654","0.0036","0.0036","285.6832172285","58.8783210105"
"0.0037","0.0037","44.547930483","38.2137291529","0.0005270672","0.0005270672","713.7317095682","12.1936943654","0.0037","0.0037","280.644271922","58.1512617956"
"0.0038","0.0038","44.089694404","37.4943972228","0.0004260511","0.0004260511","768.4074830792","48.137796822","0.0038","0.0038","275.8250821993","57.4593237822"
"0.0039","0.0039","43.6776288424","36.803474545","0.0004783194","0.0004783194","820.5561186015","81.887796822","0.0039","0.0039","271.2106502803","56.7999514666"
"0.004","0.004","43.3070817931","36.1398391261","0.0004579243","0.0004579243","879.3930555051","123.5227632243","0.004","0.004","266.7873528893","56.1708346579"
"0.0041","0.0041","42.973869973","35.5024132848","0.0004517188","0.0004517188","932.7082395817","161.0227632243","0.0041","0.0041","262.5427846982","55.569879509"
"0.0042","0.0042","42.6742315943","34.8901619015","0.0003340273","0.0003340273","1956.4582395775","112.2727632236","0.0042","0.0042","258.4656229177","54.9951835782"
"0.0043","0.0043","42.4047838961","34.3020907378","0.0041288584","0.0041288584","145.3125","59.375","0.0043","0.0043","254.5455097547","54.4450142798"
"0.0044","0.0044","42.1624849543","33.7372448214","0.002013092","0.002013092","158.4375","46.25","0.0044","0.0044","250.7729500235","53.9177901955"
"0.0045","0.0045","41.9445993401","33.1947068959","0.0015873783","0.0015873783","179.7797967665","54.6875","0.0045","0.0045","247.1392216633","53.4120648136"
"0.0046","0.0046","41.7486672386","32.6735959307","0.0038733186","0.0038733186","194.1393093673","43.9082179556","0.0046","0.0046","243.6362972881","52.9265123323"
"0.0047","0.0047","41.5724766785","32.1730656909","0.0063549335","0.0063549335","180.6701218513","53.5181311076","0.0047","0.0047","240.2567752032","52.4599152286"
"0.0048","0.0048","41.4140385603","31.6923033624","0.0067527321","0.0067527321","193.7951218513","40.3931311075","0.0048","0.0048","236.9938185711","52.0111533395"
"0.0049","0.0049","41.2715642002","31.2305282326","0.0042941962","0.0042941962","210.2364798027","55.1587561075","0.0049","0.0049","233.8411016171","51.5791942455"
"0.005","0.005","41.1434451369","30.7869904221","0.0016481282","0.0016481282","222.9215471798","68.8472499251","0.005","0.005","230.7927619351","51.1630847769"
"0.0051","0.0051","41.028234973","30.3609696674","0.0005044169","0.0005044169","239.006639007","70.4159225407","0.0051","0.0051","227.8433580954","50.7619434939"
"0.0052","0.0052","40.9246330459","29.9517741509","0.0007002918","0.0007002918","253.7722640071","85.1815475407","0.0052","0.0052","224.9878318741","50.3749540106"
"0.0053","0.0053","40.8314697438","29.5587393777","0.0007193522","0.0007193522","726.308235912","584.0367928443","0.0053","0.0053","222.221474522","50.001359055"
"0.0054","0.0054","40.7476933016","29.1812270963","0.0144639137","0.0144639137","88.1642599823","27.34375","0.0054","0.0054","219.5398965744","49.6404551718"
"0.0055","0.0055","40.6723579269","28.8186242623","0.0143823924","0.0143823924","102.9298849823","42.109375","0.0055","0.0055","216.9390007725","49.291587987"
"0.0056","0.0056","40.6046131227","28.470342043","0.0130652487","0.0130652487","118.3837261972","29.7013394342","0.0056","0.0056","214.4149577244","48.9541479675"
"0.0057","0.0057","40.5436940854","28.1358148609","0.011219818","0.011219818","138.6202140922","32.7434500127","0.0057","0.0057","211.9641839872","48.6275666136"
"0.0058","0.0058","40.4889130709","27.8144994753","0.0081721511","0.0081721511","158.1099312062","46.5718506037","0.0058","0.0058","209.5833222895","48.3113130369"
"0.0059","0.0059","40.43965163","27.5058741003","0.0044045742","0.0044045742","176.0114743142","47.9208418301","0.0059","0.0059","207.2692236542","48.0048908747"
"0.006","0.006","40.3953536268","27.2094375574","0.0030129195","0.0030129195","198.4645449228","58.8908583192","0.006","0.006","205.0189312095","47.7078355068"
"0.0061","0.0061","40.3555189599","26.9247084616","0.0026573445","0.0026573445","212.9957949228","49.0471083192","0.0061","0.0061","202.8296655032","47.4197115372"
"0.0062","0.0062","40.3196979167","26.6512244397","0.0017585161","0.0017585161","228.5367512708","51.8596083192","0.0062","0.0062","200.6988111595","47.1401105138"
"0.0063","0.0063","40.2874860964","26.3885413794","0.0013095544","0.0013095544","249.1680021552","55.1838406058","0.0063","0.0063","198.6239047357","46.8686488593"
"0.0064","0.0064","40.2585198441","26.1362327082","0.0009019528","0.0009019528","264.717904426","67.2098848912","0.0064","0.0064","196.6026236536","46.6049659905"
"0.0065","0.0065","40.2324721461","25.8938887005","0.000922777","0.000922777","278.5176370515","62.9053905958","0.0065","0.0065","194.6327760955","46.3487226075"
"0.0066","0.0066","40.2090489374","25.6611158126","0.0009225755","0.0009225755","295.8607825841","58.6972076787","0.0066","0.0066","192.7122917682","46.099599133"
"0.0067","0.0067","40.1879857823","25.4375360432","0.0008940481","0.0008940481","307.2814058594","45.9066460918","0.0067","0.0067","190.8392134467","45.8572942887"
"0.0068","0.0068","40.1690448886","25.2227863199","0.0011734994","0.0011734994","321.8126558595","45.4378960918","0.0068","0.0068","189.0116892233","45.6215237932"
"0.0069","0.0069","40.1520124235","25.0165179093","0.0009684816","0.0009684816","336.5782808594","60.2035210918","0.0069","0.0069","187.2279653923","45.3920191705"
"0.007","0.007","40.1366960995","24.8183958509","0.0010023371","0.0010023371","344.7814058594","49.6566460918","0.007","0.007","185.4863799108","45.1685266579"
"0.0071","0.0071","40.1229230032","24.6280984133","0.0007931144","0.0007931144","64.4689058598","28.0941460918","0.0071","0.0071","183.7853563811","44.9508062031"
"0.0072","0.0072","40.1105376435","24.4453165713","0.0126530954","0.0126530954","147.65625","45.8532272097","0.0072","0.0072","182.1233985063","44.7386305438"
"0.0073","0.0073","40.0994001961","24.2697535045","0.0126328864","0.0126328864","161.484375","44.6813522097","0.0073","0.0073","180.4990849761","44.5317843594"
"0.0074","0.0074","40.0893849251","24.1011241149","0.0119369843","0.0119369843","178.5045111364","55.4626022097","0.0074","0.0074","178.9110647437","44.330063491"
"0.0075","0.0075","40.0803787634","23.9391545643","0.0106706718","0.0106706718","198.54074018","56.6359034307","0.0075","0.0075","177.3580526602","44.1332742214"
"0.0076","0.0076","40.0722800359","23.7835818295","0.0088486482","0.0088486482","221.8460859142","70.3887803287","0.0076","0.0076","175.8388254332","43.9412326104"
"0.0077","0.0077","40.0649973124","23.634153275","0.0069372418","0.0069372418","242.4875407965","70.9537979488","0.0077","0.0077","174.3522178831","43.7537638808"
"0.0078","0.0078","40.0584483747","23.4906262429","0.0054724","0.0054724","267.2889525739","64.5736602572","0.0078","0.0078","172.8971194715","43.5707018501"
"0.0079","0.0079","40.0525592886","23.3527676588","0.0044760743","0.0044760743","296.5627639922","54.6021726999","0.0079","0.0079","171.4724710777","43.3918884045"
"0.008","0.008","40.0472635695","23.2203536533","0.004192678","0.004192678","323.2288108673","68.5123082552","0.008","0.008","170.0772620039","43.2171730108"
"0.0081","0.0081","40.0425014315","23.0931691987","0.0039970069","0.0039970069","336.1194358674","55.1529332552","0.0081","0.0081","168.7105271898","43.0464122638"
"0.0082","0.0082","40.0382191124","22.9710077593","0.0033865178","0.0033865178","354.9131124115","49.9966832552","0.0082","0.0082","167.3713446188","42.8794694662"
"0.0083","0.0083","40.0343682672","22.8536709565","0.0029615923","0.0029615923","375.110569879","55.120697233","0.0083","0.0083","166.0588329018","42.7162142372"
"0.0084","0.0084","40.0309054219","22.7409682464","0.0029355906","0.0029355906","389.3877964745","68.0848978101","0.0084","0.0084","164.772149024","42.5565221493"
"0.0085","0.0085","40.0277914826","22.6327166104","0.0026773959","0.0026773959","407.6853739295","79.5422632941","0.0085","0.0085","163.5104862409","42.4002743894"
"0.0086","0.0086","40.0249912947","22.528740258","0.0019214797","0.0019214797","421.7478739295","82.3547632941","0.0086","0.0086","162.2730721139","42.2473574428"
"0.0087","0.0087","40.0224732454","22.4288703415","0.0015016692","0.0015016692","433.2401548335","73.5347816396","0.0087","0.0087","161.0591666725","42.0976627992"
"0.0088","0.0088","40.0202089074","22.3329446815","0.0022098337","0.0022098337","446.8339048336","84.3160316396","0.0088","0.0088","159.8680606961","41.9510866772"
"0.0089","0.0089","40.0181727174","22.2408075037","0.0031123153","0.0031123153","461.5995298335","99.0816566396","0.0089","0.0089","158.6990741037","41.8075297676"
"0.009","0.009","40.016341688","22.1523091862","0.0031874584","0.0031874584","477.5232048303","92.4315714749","0.009","0.009","157.5515544461","41.6668969929"
"0.0091","0.0091","40.0146951476","22.0673060159","0.0011315679","0.0011315679","708.2611914635","396.3921539297","0.0091","0.0091","156.4248754911","41.5290972826"
"0.0092","0.0092","40.0132145078","21.9856599557","0.0117203311","0.0117203311","119.356670039","55.7284234528","0.0092","0.0092","155.3184358958","41.3940433626"
"0.0093","0.0093","40.0118830529","21.9072384201","0.011934022","0.011934022","110.4504200389","59.0096734528","0.0093","0.0093","154.2316579602","41.2616515575"
"0.0094","0.0094","40.0106857515","21.83191406","0.0115112872","0.0115112872","98.7316700389","53.3846734528","0.0094","0.0094","153.1639864556","41.1318416058"
"0.0095","0.0095","40.0096090867","21.7595645557","0.0093981973","0.0093981973","116.9350296827","45.6778126992","0.0095","0.0095","152.1148875224","41.0045364858"
"0.0096","0.0096","40.0086409034","21.6900724183","0.0067766673","0.0067766673","109.2006546827","55.4611617159","0.0096","0.0096","151.0838476334","40.8796622528"
"0.0097","0.0097","40.0077702714","21.6233247993","0.0031679613","0.0031679613","96.7787796827","55.2267867159","0.0097","0.0097","150.0703726176","40.7571478853"
"0.0098","0.0098","40.0069873618","21.5592133067","0.001081149","0.001081149","89.6288284548","45.0743963394","0.0098","0.0098","149.07398674","40.6369251409"
"0.0099","0.0099","40.0062833358","21.4976338296","0.0010471841","0.0010471841","78.7469104205","49.1220986297","0.0099","0.0099","148.0942318343","40.5189284209"
"0.01","0.01","40.0056502454","21.4384863687","0.0010152882","0.0010152882","64.6844104205","50.0595986297","0.01","0.01","147.1306664845","40.4030946417"
"0.0101","0.0101","40.0050809433","21.3816748741","0.000985278","0.000985278","68.9031604205","59.9033486297","0.0101","0.0101","146.1828652527","40.2893631152"
"0.0102","0.0102","40.0045690024","21.3271070892","0.0009569909","0.0009569909","56.2469104205","45.9353802863","0.0102","0.0102","145.2504179489","40.1776754346"
"0.0103","0.0103","40.0041086432","21.2746944012","","","","","0.0103","0.0103","144.3329289425","40.0679753678"
"0.0104","0.0104","40.0036946684","21.2243516968","","","","","0.0104","0.0104","143.4300165092","39.960208756"
"0.0105","0.0105","40.0033224045","21.1759972241","","","","","0.0105","0.0105","142.5413122151","39.8543234181"
"0.0106","0.0106","40.0029876488","21.12955246","","","","","0.0106","0.0106","141.666460332","39.7502690609"
"0.0107","0.0107","40.0026866221","21.0849419827","","","","","0.0107","0.0107","140.8051172852","39.6479971933"
"0.0108","0.0108","40.002415926","21.0420933489","","","","","0.0108","0.0108","139.9569511284","39.5474610462"
"0.0109","0.0109","40.0021725044","21.0009369765","","","","","0.0109","0.0109","139.121641048","39.4486154955"
"0.011","0.011","40.0019536093","20.9614060314","","","","","0.011","0.011","138.2988768908","39.3514169902"
"0.0111","0.0111","40.0017567693","20.9234363191","","","","","0.0111","0.0111","137.4883587174","39.2558234836"
"0.0112","0.0112","40.0015797624","20.8869661803","","","","","0.0112","0.0112","136.6897963772","39.1617943687"
"0.0113","0.0113","40.0014205902","20.851936391","","","","","0.0113","0.0113","135.9029091052","39.0692904163"
"0.0114","0.0114","40.0012774557","20.8182900661","","","","","0.0114","0.0114","135.1274251385","38.9782737167"
"0.0115","0.0115","40.0011487431","20.7859725672","","","","","0.0115","0.0115","134.3630813515","38.888707624"
