"Vi","D","GR","GR_copy","scores","C","scores2","GR_fit","GR_fit_copy","GR_fit_copy_copy","GR_fit_copy_copy_copy","C_fit","D_fit","Vi_fit","GR_fit #2","Vi_wold","C_keas","D_keas"
"2.454911735","50.9836120568","0.0119368323","0.0119368323","0.0087093808","158.338039601","0.9129061917","0.0035","0.0035","0.0035","0.0035","267.9047601914","54.02","2.6594225","0.0054","3.5509623012","96.906397018","51.5936835975"
"3.7232887467","54.9480190041","0.0106704296","0.0106704296","0.0114101459","92.6935882742","0.8858985408","0.0036","0.0036","0.0036","0.0036","266.126756294","54.02","2.6824416","0.0055","3.5376565378","94.8546052084","50.5012944397"
"3.3759194964","46.9160836785","0.0088483119","0.0088483119","0.0097257623","145.7756457368","0.9027423774","0.0037","0.0037","0.0037","0.0037","264.3485379564","54.02","2.7048849","0.0056","3.5232691819","92.881199771","49.450638767"
"1.9701382464","45.9788961785","0.0069369411","0.0069369411","0.0093738","201.0697082368","0.9062620005","0.0038","0.0038","0.0038","0.0038","262.5701051528","54.02","2.7267524","0.0057","3.507910583","90.9831860438","48.4401221992"
"0.5643569964","15.8903345605","0.0054722018","0.0054722018","0.0112990322","163.2287761612","0.8870096779","0.0039","0.0039","0.0039","0.0039","260.7914578572","54.02","2.7480441","0.0058","3.4916792572","89.1576837721","47.4682112675"
"0.1894819964","40.2572095605","0.0044759353","0.0044759353","0.0092591413","116.1848208294","0.9074085872","0.004","0.004","0.004","0.004","259.0125960438","54.02","2.76876","0.0059","3.4746633514","87.4019227382","46.5334310875"
"1.6788646376","45.4308252083","0.0041927085","0.0041927085","0.0130616849","177.4975674309","0.8693831512","0.0041","0.0041","0.0041","0.0041","257.2335196867","54.02","2.7889001","0.006","3.4569419093","85.7132385576","45.6343631209"
"2.8034896376","62.3002002083","0.003996921","0.003996921","0.0184593783","228.1056924309","0.8154062166","0.0042","0.0042","0.0042","0.0042","255.4542287601","54.02","2.8084644","0.0061","3.4385859676","84.0890686353","44.7696430234"
"3.2903780821","63.2387526696","0.0033864025","0.0033864025","0.0180373194","276.1808982445","0.8196268064","0.0043","0.0043","0.0043","0.0043","253.6747232381","54.02","2.8274529","0.0062","3.4196595071","82.5269482774","43.9379585736"
"4.3212843321","58.5528151696","0.0029615607","0.0029615607","0.0182027227","331.4749607445","0.8179727725","0.0044","0.0044","0.0044","0.0044","251.8950030947","54.02","2.8458656","0.0063","3.4002202791","81.024506951","43.1380476822"
"3.3840968321","47.3065651696","0.0029356104","0.0029356104","0.0184159742","380.2087107446","0.8158402581","0.0045","0.0045","0.0045","0.0045","250.1150683042","54.02","2.8637025","0.0064","3.3803205249","79.5794646865","42.3686964766"
